Date,Close,High,Low,Open,Volume,Ticker,Category
2022-01-03,30.061140060424805,30.649967690712824,29.725807360139775,29.755748425658155,391547000,NVDA,Stock
2022-01-04,29.231786727905273,30.407444937866018,28.292656990618887,30.21682456762122,527154000,NVDA,Stock
2022-01-05,27.54913902282715,29.357538070443287,27.478280983281813,28.891465241719928,498064000,NVDA,Stock
2022-01-06,28.121997833251953,28.381481331155296,27.01121087291353,27.585066961351565,454186000,NVDA,Stock
2022-01-07,27.19285011291504,28.36551610574402,27.003227178529944,28.085074417160133,409939000,NVDA,Stock
2022-01-10,27.345548629760742,27.41441175231118,25.593037744752408,26.52817595400394,594681000,NVDA,Stock
2022-01-11,27.761716842651367,28.009225072030798,26.785661751752833,27.268699119824706,404089000,NVDA,Stock
2022-01-12,27.9433536529541,28.53816789323049,27.553130003657554,28.011217393989682,383413000,NVDA,Stock
2022-01-13,26.52218246459961,28.42339502410445,26.445333934971337,28.322595930958233,540171000,NVDA,Stock
2022-01-14,26.88845443725586,27.14294871181414,26.157908876529852,26.24773016124949,395832000,NVDA,Stock
2022-01-18,25.851518630981445,26.585058455010692,25.718783542206612,26.20780945704016,424270000,NVDA,Stock
2022-01-19,25.01717758178711,26.49024379407116,25.002208004139014,26.02716721918881,488315000,NVDA,Stock
2022-01-20,24.102005004882812,25.52816592790516,24.030147591877117,25.25371283114106,435181000,NVDA,Stock
2022-01-21,23.327545166015625,24.77366471205507,23.216765715499022,23.46028025235357,718958000,NVDA,Stock
2022-01-24,23.325546264648438,23.333529785410192,20.846484133705683,22.28561749490321,913982000,NVDA,Stock
2022-01-25,22.27963638305664,22.897407670690043,21.956280840945627,22.50119533882482,664616000,NVDA,Stock
2022-01-26,22.726743698120117,24.009189816429384,22.25568159985635,23.19381403507695,755959000,NVDA,Stock
2022-01-27,21.900386810302734,23.94731106663501,21.631920439455527,23.521159678261036,573353000,NVDA,Stock
2022-01-28,22.79460906982422,22.81257294726287,21.253676914429107,21.96825357562381,543774000,NVDA,Stock
2022-01-31,24.437334060668945,24.460289063835987,23.00618412484713,23.135924911882224,564680000,NVDA,Stock
2022-02-01,24.58903694152832,25.09502934074459,23.842522359091557,25.05411045530758,518925000,NVDA,Stock
2022-02-02,25.191837310791016,25.76569347477143,24.50420547493788,25.742740370347118,543419000,NVDA,Stock
2022-02-03,23.900405883789062,25.027161828554508,23.7327404966598,24.409392542148876,410178000,NVDA,Stock
2022-02-04,24.270668029785156,24.586039987928007,23.585033117362396,23.92435754479338,354829000,NVDA,Stock
2022-02-07,24.678855895996094,25.131952179111504,24.153900300504695,24.32356251647183,376868000,NVDA,Stock
2022-02-08,25.058101654052734,25.1798589396147,23.93234311537428,24.310589623943148,410359000,NVDA,Stock
2022-02-09,26.651927947998047,26.671888658006182,25.30261555051223,25.571080056956752,524282000,NVDA,Stock
2022-02-10,25.77267837524414,26.871490147981913,25.549124513702214,25.94333997182691,513200000,NVDA,Stock
2022-02-11,23.901405334472656,26.10002831228232,23.725756410566216,25.864497256375,605472000,NVDA,Stock
2022-02-14,24.218769073486328,24.825560463941507,23.70778564769813,23.88643073458428,440424000,NVDA,Stock
2022-02-15,26.442346572875977,26.49224644503513,24.734746450060985,24.89941755103267,699869000,NVDA,Stock
2022-02-16,26.45831298828125,26.529172937045136,25.501219224442693,26.206814897463676,732676000,NVDA,Stock
2022-02-17,24.458293914794922,25.73375385180885,24.116974561523147,25.579061218859415,810595000,NVDA,Stock
2022-02-18,23.595012664794922,24.9363413812796,23.054090050944854,24.61897260173139,761255000,NVDA,Stock
2022-02-22,23.343517303466797,24.016177674838435,22.95429294527255,22.989223238774173,633422000,NVDA,Stock
2022-02-23,22.342504501342773,24.10699211767521,22.25667689007346,23.7546930729614,566511000,NVDA,Stock
2022-02-24,23.7008056640625,23.75270237205634,20.8484854605416,20.9732370526292,735801000,NVDA,Stock
2022-02-25,24.10898780822754,24.168868025869422,23.334531028911424,23.673855434811756,528866000,NVDA,Stock
2022-02-28,24.336538314819336,24.615982537692595,23.659886251331425,23.944319699810443,477319000,NVDA,Stock
2022-03-01,23.430343627929688,24.328556587897697,23.086029928980732,24.242727053391707,412056000,NVDA,Stock
2022-03-02,24.175983428955078,24.364641033795944,23.372447983953073,23.712827876260754,389642000,NVDA,Stock
2022-03-03,23.670907974243164,24.281795369595773,23.426352346873195,24.217910588033938,365095000,NVDA,Stock
2022-03-04,22.894319534301758,23.636966955127175,22.441144110309114,23.341505344158694,431415000,NVDA,Stock
2022-03-07,21.31319808959961,22.99114500980663,21.291238708054614,22.775536020572545,450821000,NVDA,Stock
2022-03-08,21.47490119934082,22.33233933851528,20.61247108080546,21.270273834836342,557467000,NVDA,Stock
2022-03-09,22.97217559814453,23.177800600931413,22.206569302526024,22.346314265208143,492742000,NVDA,Stock
2022-03-10,22.6168212890625,22.746584183582087,21.842230651130887,22.490051297255544,428066000,NVDA,Stock
2022-03-11,22.059837341308594,23.10293830541665,22.005934624302842,22.980160740629042,367209000,NVDA,Stock
2022-03-14,21.29123878479004,22.22154435088089,21.120550000261794,21.829258865642,385354000,NVDA,Stock
2022-03-15,22.93125343322754,22.996135849433134,21.283254531113446,21.478897510346606,491996000,NVDA,Stock
2022-03-16,24.45148277282715,24.552299054127236,23.12988952261609,23.457292552284873,671422000,NVDA,Stock
2022-03-17,24.720993041992188,24.79685323515595,23.862555326463934,24.076167120982394,471941000,NVDA,Stock
2022-03-18,26.40492057800293,26.520710874175396,24.579246231817685,24.753927406368373,730719000,NVDA,Stock
2022-03-21,26.685415267944336,27.102656804840144,25.919808947289926,26.45882851334558,591727000,NVDA,Stock
2022-03-22,26.47579574584961,27.188498830843827,26.024617540690265,26.67842593251297,547007000,NVDA,Stock
2022-03-23,25.58741569519043,26.56363709584055,25.52852290161085,26.078520250553925,502120000,NVDA,Stock
2022-03-24,28.098844528198242,28.26853567485179,25.859920549926873,26.11845066352887,877379000,NVDA,Stock
2022-03-25,27.641674041748047,28.306464068102645,27.221439608204165,27.835321724179195,579016000,NVDA,Stock
2022-03-28,28.167713165283203,28.19865696132913,27.15655375747075,27.705555300817046,425494000,NVDA,Stock
2022-03-29,28.60392189025879,28.89339386605595,27.929149831104116,28.64285057154714,488984000,NVDA,Stock
2022-03-30,27.639678955078125,28.444213951833504,27.453018519672682,28.252563440733994,463487000,NVDA,Stock
2022-03-31,27.236412048339844,28.19666368490603,27.220442282936776,27.731510949600096,523440000,NVDA,Stock
2022-04-01,26.6634578704834,27.44603355303061,26.219266845372278,27.325253149263812,517235000,NVDA,Stock
2022-04-04,27.310274124145508,27.507914215731244,26.564632046975778,26.67942280733354,397120000,NVDA,Stock
2022-04-05,25.883874893188477,27.269352943730603,25.773076554519676,27.204470536288614,436615000,NVDA,Stock
2022-04-06,24.362648010253906,25.25402493041079,23.959382815616124,24.888690790070065,703833000,NVDA,Stock
2022-04-07,24.16400909423828,24.677074985912075,23.435336116546427,24.396585485641776,557992000,NVDA,Stock
2022-04-08,23.076982498168945,23.879522143654725,23.020086883249657,23.873532530332007,524781000,NVDA,Stock
2022-04-11,21.877168655395508,22.279436135946174,21.62063574834751,22.173629781756052,575207000,NVDA,Stock
2022-04-12,21.464920043945312,22.68370176540481,21.243323367316314,22.496043695875855,662258000,NVDA,Stock
2022-04-13,22.162647247314453,22.45910836108208,21.41600747437876,21.68851203835293,516943000,NVDA,Stock
2022-04-14,21.21936798095703,22.73560855917908,21.12454130662309,22.464101591348445,569097000,NVDA,Stock
